Litschau;557m;23.7°;38 %;Ost, 5 km/h;20 km/h;0.0 mm;100 %;1018.0 hPa;2022-06-15 13:02:26
Weitra;570m;23.7°;39 %;Ost, 10 km/h;21 km/h;0.0 mm;100 %;1017.3 hPa;2022-06-15 13:02:26
Zwettl;505m;23.9°;37 %;Südwest, 10 km/h;25 km/h;0.0 mm;100 %;1018.2 hPa;2022-06-15 13:02:26
Raabs/Thaya;456m;23.1°;39 %;Süd, 12 km/h;23 km/h;0.0 mm;100 %;1018.6 hPa;2022-06-15 13:02:26
Allentsteig;607m;21.8°;48 %;Südost, 12 km/h;28 km/h;0.0 mm;100 %;1018.6 hPa;2022-06-15 13:02:26
Horn;309m;24.1°;42 %;Ost, 11 km/h;26 km/h;0.0 mm;100 %;1017.4 hPa;2022-06-15 13:02:26
Gars am Kamp;275m;24.5°;42 %;Ost, 13 km/h;25 km/h;0.0 mm;100 %;1018.9 hPa;2022-06-15 13:02:26
Langenlois;209m;24.9°;40 %;Ost, 9 km/h;19 km/h;0.0 mm;100 %;1019.6 hPa;2022-06-15 13:02:26
Krems;203m;25.1°;42 %;Ost, 6 km/h;18 km/h;0.0 mm;100 %;1018.9 hPa;2022-06-15 13:02:26
Bärnkopf;971m;20.3°;43 %;Nordost, 7 km/h;19 km/h;0.0 mm;100 %;k.A.;2022-06-15 13:02:26
Jauerling;961m;19.9°;52 %;Ost, 13 km/h;26 km/h;0.0 mm;100 %;k.A.;2022-06-15 13:02:26
Retz;320m;23.3°;44 %;Südost, 6 km/h;19 km/h;0.0 mm;100 %;1018.9 hPa;2022-06-15 13:02:26
Laa an der Thaya;184m;24.9°;35 %;Südost, 12 km/h;25 km/h;0.0 mm;100 %;1019.3 hPa;2022-06-15 13:02:26
Poysdorf;206m;24.7°;36 %;Südost, 10 km/h;24 km/h;0.0 mm;100 %;1019.7 hPa;2022-06-15 13:02:26
Hohenau;151m;24.7°;40 %;Südost, 8 km/h;19 km/h;0.0 mm;100 %;1019.8 hPa;2022-06-15 13:02:26
Schöngrabern;251m;24.5°;33 %;Süd, 7 km/h;20 km/h;0.0 mm;100 %;1019.3 hPa;2022-06-15 13:02:26
Leiser Berge;458m;22.1°;44 %;Südost, 16 km/h;30 km/h;0.0 mm;100 %;1019.4 hPa;2022-06-15 13:02:26
Mistelbach;190m;24.8°;36 %;Südost, 7 km/h;19 km/h;0.0 mm;98 %;1019.5 hPa;2022-06-15 13:02:26
Wolkersdorf;186m;25.4°;42 %;Südost, 7 km/h;33 km/h;0.0 mm;100 %;1019.4 hPa;2022-06-15 13:02:26
Stockerau;205m;24.7°;43 %;Südost, 11 km/h;30 km/h;0.0 mm;100 %;1019.2 hPa;2022-06-15 13:02:26
Gänserndorf;164m;25.6°;39 %;Südost, 7 km/h;22 km/h;0.0 mm;100 %;1019.3 hPa;2022-06-15 13:02:26
Zwerndorf;146m;24.8°;39 %;Südost, 9 km/h;20 km/h;0.0 mm;100 %;1019.7 hPa;2022-06-15 13:02:26
Groß-Enzersdorf;153m;24.9°;44 %;Süd, 13 km/h;22 km/h;0.0 mm;99 %;1019.5 hPa;2022-06-15 13:02:26
Langenlebarn;177m;25.8°;42 %;Ost, 10 km/h;29 km/h;0.0 mm;97 %;1019.0 hPa;2022-06-15 13:02:26
Buchberg;467m;23.4°;55 %;Ost, 13 km/h;32 km/h;0.0 mm;100 %;1018.6 hPa;2022-06-15 13:02:26
St. Pölten;270m;25.1°;47 %;Nord, 13 km/h;30 km/h;0.0 mm;100 %;1018.3 hPa;2022-06-15 13:02:26
Melk;305m;24.8°;51 %;Ost, 14 km/h;25 km/h;n.v.;100 %;1018.5 hPa;2022-06-15 13:02:26
Amstetten;264m;25.3°;37 %;Ost, 13 km/h;26 km/h;0.0 mm;100 %;1017.8 hPa;2022-06-15 13:02:26
Wieselburg;259m;26.9°;43 %;Nordost, 1 km/h;14 km/h;0.0 mm;100 %;1018.1 hPa;2022-06-15 13:02:26
Oberndorf/Melk;295m;25.1°;45 %;Nordost, 10 km/h;23 km/h;0.0 mm;100 %;1017.9 hPa;2022-06-15 13:02:26
Lilienfeld/Tarschberg;696m;23.1°;60 %;Nord, 5 km/h;21 km/h;0.0 mm;100 %;1017.4 hPa;2022-06-15 13:02:26
Wachtberg/Steyr;385m;24.9°;54 %;Nordost, 10 km/h;26 km/h;0.0 mm;100 %;1017.3 hPa;2022-06-15 13:02:26
Waidhofen a.d. Ybbs;378m;26.6°;44 %;Ost, 4 km/h;17 km/h;0.0 mm;100 %;1017.9 hPa;2022-06-15 13:02:26
Lunz am See;611m;25.3°;37 %;Nordwest, 5 km/h;16 km/h;0.0 mm;100 %;1016.2 hPa;2022-06-15 13:02:26
Kernhof-St.Aegyd/Neuwalde;684m;24.7°;39 %;Nord, 7 km/h;22 km/h;0.0 mm;n.v.;1016.2 hPa;2022-06-15 13:02:26
Bad Deutsch-Altenbg.;169m;24.8°;42 %;Süd, 4 km/h;21 km/h;0.0 mm;72 %;n.v.;2022-06-15 13:02:26
Göttlesbrunn;195m;25.1°;n.v.;n.v.;n.v.;0.0 mm;n.v.;n.v.;2022-06-15 13:02:26
Schwechat Flughafen;183m;23.9°;46 %;Südost, 13 km/h;30 km/h;0.0 mm;97 %;1019.6 hPa;2022-06-15 13:02:26
Brunn am Gebirge;290m;23.4°;52 %;Ost, 6 km/h;23 km/h;0.0 mm;77 %;1019.1 hPa;2022-06-15 13:02:26
Klausen-Leopoldsdorf;390m;25.0°;49 %;Ost, 9 km/h;21 km/h;0.0 mm;100 %;1018.8 hPa;2022-06-15 13:02:26
Gumpoldskirchen;212m;24.8°;46 %;Ost, 11 km/h;26 km/h;0.0 mm;98 %;1020.0 hPa;2022-06-15 13:02:26
Seibersdorf;185m;25.3°;49 %;Südost, 14 km/h;27 km/h;0.0 mm;87 %;1019.2 hPa;2022-06-15 13:02:26
Bad Vöslau;266m;25.7°;44 %;Ost, 5 km/h;26 km/h;0.0 mm;80* %;n.v.;2022-06-15 13:02:26
Berndorf;337m;25.6°;48 %;Nordost, 7 km/h;24 km/h;0.0 mm;93 %;1018.5 hPa;2022-06-15 13:02:26
Gutenstein/Mariahilfbg.;710m;23.0°;54 %;Nord, 4 km/h;24 km/h;0.0 mm;94 %;1017.5 hPa;2022-06-15 13:02:26
Wiener Neustadt;281m;25.1°;45 %;Ost, 11 km/h;30 km/h;0.0 mm;91 %;1018.3 hPa;2022-06-15 13:02:26
Hohe Wand;937m;21.2°;58 %;Südost, 14 km/h;33 km/h;0.0 mm;93 %;k.A.;2022-06-15 13:02:26
Puchberg/Schneeberg;586m;23.3°;51 %;Nordost, 7 km/h;22 km/h;0.0 mm;68 %;1017.8 hPa;2022-06-15 13:02:26
Rax/Bergstation;1558m;14.4°;75 %;Südost, 13 km/h;28 km/h;0.0 mm;29 %;k.A.;2022-06-15 13:02:26
Reichenau/Rax;488m;24.5°;45 %;Ost, 10 km/h;26 km/h;0.0 mm;97 %;1017.2 hPa;2022-06-15 13:02:26
Pottschach;419m;25.1°;46 %;Ost, 7 km/h;19 km/h;0.0 mm;98 %;1017.6 hPa;2022-06-15 13:02:26
Semmering/Pass;991m;21.0°;55 %;Nordost, 8 km/h;22 km/h;0.0 mm;100 %;k.A.;2022-06-15 13:02:26
Hirschenkogel;1320m;16.2°;70 %;Nordost, 16 km/h;29 km/h;0.0 mm;71 %;k.A.;2022-06-15 13:02:26
Aspang;456m;23.4°;51 %;Süd, 11 km/h;29 km/h;0.0 mm;100 %;1018.2 hPa;2022-06-15 13:02:26
Krumbach;542m;24.0°;46 %;Südost, 13 km/h;34 km/h;0.0 mm;98 %;1018.2 hPa;2022-06-15 13:02:26
Mönichkirchen;990m;18.8°;63 %;Süd, 13 km/h;28 km/h;0.0 mm;88 %;k.A.;2022-06-15 13:02:26
